10:03:00 [激光测距] 已通过 MyLink MAVLink 收到四路距离数据
10:03:01 [电机输出] 已通过 MyLink MAVLink 收到四路电机PWM数据
10:03:03 [成功] PX4已连接：udp:127.0.0.1:14540 系统ID=1 组件ID=1
10:03:03 [贴顶流程] 待机
10:03:03 [离地高度] 已请求3 Hz测距数据流
10:03:03 [成功] 已保存UDP地址：udp:127.0.0.1:14540
10:03:03 [成功] 本地NED坐标原点=(-0.026564037427306175, 0.016641510650515556, -0.10862046480178833)；已启动10 Hz本地位置数据流
10:03:05.835091 [轨迹] 序号=23 单调时间=4600.615033 时间=4600.615 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.023,0.017,-0.105) 实际速度=(-0.000,-0.001,-0.010) 最终目标=(-0.023,0.017,-0.105) 指令位置=(-0.023,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:05.938785 [轨迹] 序号=24 单调时间=4600.718187 时间=4600.718 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.023,0.017,-0.105) 实际速度=(-0.001,-0.001,-0.010) 最终目标=(-0.023,0.017,-0.105) 指令位置=(-0.023,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:06.043195 [轨迹] 序号=25 单调时间=4600.823022 时间=4600.823 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.023,0.017,-0.105) 实际速度=(-0.000,-0.001,-0.010) 最终目标=(-0.023,0.017,-0.105) 指令位置=(-0.023,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:06.146248 [轨迹] 序号=26 单调时间=4600.926167 时间=4600.926 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.022,0.018,-0.105) 实际速度=(-0.000,-0.000,-0.010) 最终目标=(-0.022,0.018,-0.105) 指令位置=(-0.022,0.018,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:06.250110 [轨迹] 序号=27 单调时间=4601.030125 时间=4601.030 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.022,0.018,-0.105) 实际速度=(-0.000,-0.000,-0.010) 最终目标=(-0.022,0.018,-0.105) 指令位置=(-0.022,0.018,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:06.354218 [轨迹] 序号=28 单调时间=4601.133937 时间=4601.134 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.022,0.018,-0.105) 实际速度=(-0.000,-0.000,-0.010) 最终目标=(-0.022,0.018,-0.105) 指令位置=(-0.022,0.018,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:06.457613 [轨迹] 序号=29 单调时间=4601.237579 时间=4601.238 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.022,0.018,-0.105) 实际速度=(-0.000,-0.000,-0.010) 最终目标=(-0.022,0.018,-0.105) 指令位置=(-0.022,0.018,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:06.560763 [轨迹] 序号=30 单调时间=4601.340724 时间=4601.341 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.022,0.018,-0.105) 实际速度=(-0.000,-0.000,-0.010) 最终目标=(-0.022,0.018,-0.105) 指令位置=(-0.022,0.018,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:06.664616 [轨迹] 序号=31 单调时间=4601.444361 时间=4601.444 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.021,0.018,-0.105) 实际速度=(-0.000,0.000,-0.009) 最终目标=(-0.021,0.018,-0.105) 指令位置=(-0.021,0.018,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
10:03:06.768434 [轨迹] 序号=32 单调时间=4601.548416 时间=4601.548 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.021,0.018,-0.105) 实际速度=(-0.000,0.000,-0.009) 最终目标=(-0.021,0.018,-0.105) 指令位置=(-0.021,0.018,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.04度
